partition_count, balance_difference, cut_size
10,3,147793
10,5,147743
10,7,147718
10,9,147677
10,11,147635
10,13,147596
10,15,147555
10,17,147513
10,19,147463
10,21,147408
10,23,147344
10,25,147299
10,27,147234
10,29,147174
10,31,147088
10,33,147025
10,35,146925
10,37,146827
10,39,146736
10,41,146679
10,43,146565
10,45,146503
10,47,146381
10,49,146308
10,51,146139
10,53,146033
10,55,145964
10,57,145812
10,59,145731
20,3,156024
20,5,156000
20,7,155880
20,9,155847
20,11,155821
20,13,155779
20,15,155744
20,17,155691
20,19,155641
20,21,155593
20,23,155532
20,25,155479
20,27,155406
20,29,145465
20,31,144456
20,33,144109
20,35,142928
20,37,142454
20,39,140967
20,41,140302
20,43,139498
20,45,138234
20,47,145989
20,49,137195
20,51,136540
20,53,136297
20,55,134745
20,57,134034
20,59,133822
30,3,158739
30,5,158620
30,7,158482
30,9,158405
30,11,158395
30,13,158179
30,15,158088
30,17,142065
30,19,140326
30,21,140774
30,23,149367
30,25,153649
30,27,153004
30,29,152377
30,31,152117
30,33,145206
30,35,144634
30,37,143348
30,39,149423
30,41,142537
30,43,142235
30,45,148015
30,47,140772
30,49,125231
30,51,140791
30,53,140556
30,55,138523
30,57,137947
30,59,138002
40,3,160185
40,5,160022
40,7,160012
40,9,150113
40,11,146766
40,13,145952
40,15,144578
40,17,141128
40,19,140696
40,21,141073
40,23,137618
40,25,149249
40,27,141925
40,29,141259
40,31,147114
40,33,146903
40,35,130305
40,37,145536
40,39,130850
40,41,135755
40,43,134070
40,45,143637
40,47,143622
40,49,143539
40,51,142009
40,53,141653
40,55,141457
40,57,141474
40,59,141394
50,3,160856
50,5,155882
50,7,152774
50,9,150620
50,11,149627
50,13,148116
50,15,144507
50,17,145133
50,19,152765
50,21,139494
50,23,151358
50,25,155423
50,27,135023
50,29,141948
50,31,148742
50,33,148011
50,35,139413
50,37,146210
50,39,136867
50,41,136532
50,43,144711
50,45,135136
50,47,144010
50,49,142703
50,51,132347
50,53,142201
50,55,131407
50,57,142138
50,59,141769
60,3,161396
60,5,154357
60,7,154006
60,9,150519
60,11,153418
60,13,146610
60,15,144521
60,17,141467
60,19,138524
60,21,139844
60,23,136500
60,25,151726
60,27,150692
60,29,150818
60,31,135778
60,33,148334
60,35,140376
60,37,147832
60,39,138438
60,41,136621
60,43,136257
60,45,135685
60,47,144570
60,49,134897
60,51,142817
60,53,142589
60,55,142290
60,57,142327
60,59,142201
70,3,158043
70,5,155645
70,7,154333
70,9,149135
70,11,148821
70,13,146067
70,15,143067
70,17,141233
70,19,144189
70,21,139729
70,23,137997
70,25,136806
70,27,144506
70,29,142944
70,31,136383
70,33,130220
70,35,141040
70,37,139702
70,39,132029
70,41,138145
70,43,136885
70,45,136546
70,47,146482
70,49,135011
70,51,133220
70,53,144469
70,55,132069
70,57,142363
70,59,130726
80,3,158610
80,5,155691
80,7,153413
80,9,152658
80,11,147260
80,13,147090
80,15,145081
80,17,141480
80,19,141376
80,21,138261
80,23,136811
80,25,140274
80,27,135647
80,29,143847
80,31,142603
80,33,135466
80,35,140408
80,37,139707
80,39,138904
80,41,131114
80,43,129119
80,45,135999
80,47,135721
80,49,135227
80,51,133763
80,53,144473
80,55,142761
80,57,131259
80,59,129012
90,3,162187
90,5,155557
90,7,152360
90,9,149684
90,11,149146
90,13,144284
90,15,145180
90,17,141722
90,19,141702
90,21,142642
90,23,141327
90,25,137205
90,27,139272
90,29,138203
90,31,133163
90,33,131699
90,35,153904
90,37,140002
90,39,128707
90,41,138918
90,43,138588
90,45,137178
90,47,135783
90,49,135391
90,51,133890
90,53,133185
90,55,132170
90,57,125108
90,59,142638
100,3,157808
100,5,154961
100,7,152415
100,9,151430
100,11,148227
100,13,147199
100,15,143510
100,17,158171
100,19,139805
100,21,143392
100,23,147075
100,25,140193
100,27,145332
100,29,138364
100,31,143295
100,33,154557
100,35,141666
100,37,139715
100,39,132910
100,41,139267
100,43,138336
100,45,136960
100,47,135781
100,49,145033
100,51,144861
100,53,133078
100,55,132027
100,57,142906
100,59,129311
110,3,158914
110,5,156125
110,7,151994
110,9,151359
110,11,151755
110,13,147168
110,15,152048
110,17,141725
110,19,141961
110,21,140197
110,23,138865
110,25,140551
110,27,139115
110,29,134349
110,31,131528
110,33,142220
110,35,134097
110,37,140304
110,39,140289
110,41,138904
110,43,130252
110,45,137099
110,47,136092
110,49,134135
110,51,133916
110,53,148869
110,55,144779
110,57,142649
110,59,131609
120,3,158970
120,5,155071
120,7,153899
120,9,151376
120,11,147633
120,13,145573
120,15,143573
120,17,143712
120,19,144894
120,21,142724
120,23,136914
120,25,146725
120,27,139454
120,29,134487
120,31,155158
120,33,142382
120,35,131311
120,37,140084
120,39,148358
120,41,137587
120,43,129804
120,45,137213
120,47,136763
120,49,134330
120,51,133573
120,53,132911
120,55,144861
120,57,131247
120,59,129421
130,3,158056
130,5,155311
130,7,151671
130,9,151671
130,11,146646
130,13,150073
130,15,143638
130,17,143596
130,19,142160
130,21,138141
130,23,138786
130,25,146819
130,27,139831
130,29,145238
130,31,133509
130,33,136048
130,35,141611
130,37,141188
130,39,139612
130,41,137887
130,43,130491
130,45,128472
130,47,136280
130,49,135469
130,51,134056
130,53,133209
130,55,132894
130,57,142910
130,59,131667
140,3,158578
140,5,154620
140,7,151221
140,9,149772
140,11,149237
140,13,149857
140,15,145679
140,17,146727
140,19,138986
140,21,143518
140,23,138603
140,25,137207
140,27,139653
140,29,138466
140,31,129900
140,33,150640
140,35,141945
140,37,133374
140,39,139866
140,41,139888
140,43,148244
140,45,136860
140,47,146760
140,49,126800
140,51,146797
140,53,132748
140,55,132313
140,57,142739
140,59,129753
150,3,158520
150,5,156394
150,7,153855
150,9,150055
150,11,149341
150,13,147545
150,15,148097
150,17,143601
150,19,150077
150,21,143991
150,23,142044
150,25,137268
150,27,145868
150,29,155420
150,31,136766
150,33,135833
150,35,135216
150,37,141228
150,39,139849
150,41,139767
150,43,148109
150,45,137188
150,47,136267
150,49,133890
150,51,133743
150,53,133133
150,55,133018
150,57,131994
150,59,131349
