Generation,Num Partitions,Best Fitness,Cut Edges,Max-Min Partition Size Difference
1,10,62948.7,62784,9
2,10,62926.7,62804,7
3,10,62926.7,62804,7
4,10,62926.7,62804,7
5,10,62926.7,62804,7
6,10,62924.7,62778,8
7,10,62902.7,62798,7
8,10,62850.7,62782,5
9,10,62850.7,62782,5
10,10,62850.7,62782,5
11,10,62838.7,62776,4
12,10,62850.7,62782,5
13,10,62810.7,62766,4
14,10,62834.7,62790,4
15,10,62834.7,62790,4
16,10,62834.7,62790,4
17,10,62834.7,62790,4
18,10,62834.7,62790,4
19,10,62834.7,62790,4
20,10,62834.7,62790,4
21,10,62812.7,62774,4
22,10,62798.7,62772,3
23,10,62812.7,62774,4
24,10,62798.7,62778,2
25,10,62808.7,62770,4
26,10,62804.7,62778,3
27,10,62806.7,62774,4
28,10,62806.7,62774,4
29,10,62796.7,62758,4
30,10,62796.7,62758,4
31,10,62796.7,62758,4
32,10,62790.7,62758,3
33,10,62790.7,62758,3
34,10,62790.7,62758,3
35,10,62790.7,62758,3
36,10,62790.7,62758,3
37,10,62790.7,62758,3
38,10,62790.7,62758,3
39,10,62790.7,62758,3
40,10,62790.7,62758,3
41,10,62788.7,62750,4
42,10,62788.7,62750,4
43,10,62788.7,62750,4
44,10,62788.7,62750,4
45,10,62774.7,62742,3
46,10,62774.7,62742,3
47,10,62774.7,62742,3
48,10,62774.7,62742,3
49,10,62774.7,62742,3
50,10,62758.7,62738,2
51,10,62758.7,62738,2
52,10,62758.7,62738,2
53,10,62758.7,62738,2
54,10,62758.7,62738,2
55,10,62758.7,62738,2
56,10,62758.7,62738,2
57,10,62758.7,62738,2
58,10,62758.7,62738,2
59,10,62758.7,62738,2
60,10,62754.7,62728,2
61,10,62754.7,62728,2
62,10,62754.7,62728,2
63,10,62754.7,62728,2
64,10,62754.7,62728,2
65,10,62734.7,62714,2
66,10,62734.7,62714,2
67,10,62734.7,62714,2
68,10,62734.7,62714,2
69,10,62734.7,62714,2
70,10,62734.7,62714,2
71,10,62722.7,62696,3
72,10,62722.7,62696,3
73,10,62714.7,62700,2
74,10,62714.7,62700,2
75,10,62714.7,62700,2
76,10,62714.7,62700,2
77,10,62714.7,62700,2
78,10,62714.7,62700,2
79,10,62714.7,62700,2
80,10,62708.7,62694,2
81,10,62708.7,62694,2
82,10,62708.7,62694,2
83,10,62708.7,62694,2
84,10,62708.7,62694,2
85,10,62708.7,62694,2
86,10,62708.7,62694,2
87,10,62708.7,62694,2
88,10,62706.7,62686,3
89,10,62700.7,62692,2
90,10,62700.7,62692,2
91,10,62696.7,62688,2
92,10,62696.7,62688,2
93,10,62696.7,62688,2
94,10,62696.7,62688,2
95,10,62696.7,62688,2
96,10,62696.7,62688,2
97,10,62696.7,62688,2
98,10,62696.7,62688,2
99,10,62696.7,62688,2
100,10,62694.7,62680,2
101,10,62682.7,62674,2
102,10,62682.7,62674,2
103,10,62682.7,62674,2
104,10,62682.7,62674,2
105,10,62682.7,62668,2
106,10,62668.7,62654,2
107,10,62660.7,62640,3
108,10,62660.7,62640,3
109,10,62660.7,62640,3
110,10,62656.7,62630,3
111,10,62654.7,62628,3
112,10,62650.7,62618,3
113,10,62644.7,62618,3
114,10,62654.7,62628,3
115,10,62654.7,62628,3
116,10,62654.7,62628,3
117,10,62654.7,62628,3
118,10,62654.7,62628,3
119,10,62654.7,62628,3
120,10,62654.7,62628,3
121,10,62654.7,62628,3
122,10,62654.7,62628,3
123,10,62650.7,62618,3
124,10,62648.7,62628,2
125,10,62648.7,62628,2
126,10,62648.7,62628,2
127,10,62648.7,62628,2
128,10,62648.7,62634,2
129,10,62646.7,62632,2
130,10,62642.7,62622,2
131,10,62642.7,62622,2
132,10,62642.7,62622,2
133,10,62642.7,62622,2
134,10,62642.7,62622,2
135,10,62638.7,62618,2
136,10,62638.7,62618,2
137,10,62626.7,62612,2
138,10,62638.7,62618,2
139,10,62634.7,62614,2
140,10,62632.7,62612,2
141,10,62632.7,62612,2
142,10,62632.7,62612,2
143,10,62628.7,62614,2
144,10,62628.7,62614,2
145,10,62628.7,62614,2
146,10,62628.7,62614,2
147,10,62628.7,62614,2
148,10,62628.7,62614,2
149,10,62628.7,62614,2
150,10,62628.7,62614,2
151,10,62628.7,62614,2
152,10,62628.7,62614,2
153,10,62628.7,62614,2
154,10,62624.7,62610,2
155,10,62616.7,62602,2
156,10,62616.7,62602,2
157,10,62616.7,62602,2
158,10,62616.7,62602,2
159,10,62610.7,62590,2
160,10,62610.7,62590,2
161,10,62610.7,62590,2
162,10,62610.7,62590,2
163,10,62610.7,62590,2
164,10,62610.7,62590,2
165,10,62610.7,62590,2
166,10,62610.7,62590,2
167,10,62610.7,62590,2
168,10,62610.7,62590,2
169,10,62610.7,62590,2
170,10,62606.7,62574,3
171,10,62606.7,62574,3
172,10,62610.7,62584,3
173,10,62602.7,62582,2
174,10,62610.7,62590,2
175,10,62592.7,62572,2
176,10,62592.7,62572,2
177,10,62582.7,62562,2
178,10,62582.7,62562,2
179,10,62580.7,62548,3
180,10,62580.7,62548,3
181,10,62566.7,62552,2
182,10,62566.7,62552,2
183,10,62566.7,62552,2
184,10,62582.7,62562,2
185,10,62582.7,62562,2
186,10,62568.7,62554,2
187,10,62568.7,62554,2
188,10,62568.7,62554,2
189,10,62568.7,62554,2
190,10,62568.7,62554,2
191,10,62560.7,62552,2
192,10,62560.7,62552,2
193,10,62560.7,62552,2
194,10,62560.7,62552,2
195,10,62554.7,62534,3
196,10,62554.7,62534,3
197,10,62554.7,62534,3
198,10,62554.7,62534,3
199,10,62554.7,62534,3
200,10,62554.7,62534,3
201,10,62554.7,62534,3
202,10,62554.7,62534,3
203,10,62554.7,62534,3
204,10,62554.7,62534,3
205,10,62554.7,62534,3
206,10,62554.7,62516,4
207,10,62554.7,62534,3
208,10,62548.7,62522,3
209,10,62526.7,62512,2
210,10,62526.7,62512,2
211,10,62526.7,62512,2
212,10,62522.7,62508,2
213,10,62520.7,62512,2
214,10,62516.7,62508,2
215,10,62516.7,62508,2
216,10,62506.7,62498,2
217,10,62498.7,62490,2
218,10,62512.7,62498,2
219,10,62512.7,62498,2
220,10,62508.7,62500,2
221,10,62508.7,62500,2
222,10,62508.7,62500,2
223,10,62512.7,62498,2
224,10,62512.7,62498,2
225,10,62504.7,62484,2
226,10,62504.7,62484,2
227,10,62504.7,62484,2
228,10,62502.7,62488,2
229,10,62502.7,62488,2
230,10,62502.7,62482,3
231,10,62502.7,62488,2
232,10,62502.7,62488,2
233,10,62502.7,62482,3
234,10,62502.7,62482,3
235,10,62500.7,62486,2
236,10,62486.7,62478,2
237,10,62500.7,62486,2
238,10,62500.7,62480,2
239,10,62500.7,62486,2
240,10,62500.7,62486,2
241,10,62500.7,62486,2
242,10,62490.7,62476,2
243,10,62490.7,62476,2
244,10,62490.7,62476,2
245,10,62490.7,62476,2
246,10,62490.7,62476,2
247,10,62490.7,62476,2
248,10,62490.7,62476,2
249,10,62490.7,62476,2
250,10,62490.7,62476,2
251,10,62490.7,62476,2
252,10,62490.7,62476,2
253,10,62480.7,62466,2
254,10,62480.7,62466,2
255,10,62480.7,62466,2
256,10,62480.7,62466,2
257,10,62480.7,62466,2
258,10,62480.7,62466,2
259,10,62480.7,62466,2
260,10,62480.7,62466,2
261,10,62480.7,62466,2
262,10,62480.7,62466,2
263,10,62472.7,62452,3
264,10,62472.7,62452,3
265,10,62472.7,62452,3
266,10,62462.7,62436,3
267,10,62462.7,62436,3
268,10,62462.7,62436,3
269,10,62462.7,62436,3
270,10,62462.7,62436,3
271,10,62462.7,62436,3
272,10,62458.7,62426,4
273,10,62458.7,62426,4
274,10,62430.7,62410,3
275,10,62424.7,62404,3
276,10,62424.7,62404,3
277,10,62424.7,62404,3
278,10,62424.7,62404,3
279,10,62424.7,62404,3
280,10,62418.7,62410,2
281,10,62418.7,62410,2
282,10,62418.7,62410,2
283,10,62418.7,62410,2
284,10,62418.7,62410,2
285,10,62418.7,62410,2
286,10,62412.7,62398,2
287,10,62412.7,62398,2
288,10,62412.7,62398,2
289,10,62412.7,62398,2
290,10,62412.7,62398,2
291,10,62412.7,62398,2
292,10,62402.7,62388,2
293,10,62402.7,62388,2
294,10,62402.7,62388,2
295,10,62402.7,62388,2
296,10,62402.7,62388,2
297,10,62402.7,62388,2
298,10,62402.7,62388,2
299,10,62402.7,62388,2
300,10,62402.7,62388,2
301,10,62402.7,62388,2
302,10,62402.7,62388,2
303,10,62402.7,62388,2
304,10,62386.7,62378,2
305,10,62386.7,62378,2
306,10,62386.7,62378,2
307,10,62386.7,62378,2
308,10,62386.7,62378,2
309,10,62386.7,62378,2
310,10,62386.7,62378,2
311,10,62374.7,62360,2
312,10,62374.7,62360,2
313,10,62374.7,62360,2
314,10,62374.7,62360,2
315,10,62374.7,62360,2
316,10,62366.7,62340,3
317,10,62366.7,62340,3
318,10,62366.7,62340,3
319,10,62366.7,62340,3
320,10,62366.7,62340,3
321,10,62366.7,62340,3
322,10,62366.7,62340,3
323,10,62366.7,62340,3
324,10,62366.7,62340,3
325,10,62366.7,62340,3
326,10,62362.7,62336,3
327,10,62362.7,62336,3
328,10,62362.7,62336,3
329,10,62362.7,62336,3
330,10,62362.7,62336,3
331,10,62362.7,62336,3
332,10,62362.7,62336,3
333,10,62362.7,62336,3
334,10,62362.7,62324,4
335,10,62358.7,62332,3
336,10,62358.7,62332,3
337,10,62362.7,62336,3
338,10,62362.7,62336,3
339,10,62362.7,62336,3
340,10,62362.7,62336,3
341,10,62362.7,62336,3
342,10,62362.7,62336,3
343,10,62354.7,62334,3
344,10,62354.7,62334,3
345,10,62354.7,62334,3
346,10,62354.7,62334,3
347,10,62354.7,62334,3
348,10,62354.7,62334,3
349,10,62350.7,62330,3
350,10,62350.7,62330,3
351,10,62350.7,62330,3
352,10,62350.7,62330,3
353,10,62350.7,62330,3
354,10,62350.7,62330,3
355,10,62350.7,62330,3
356,10,62350.7,62330,3
357,10,62350.7,62330,3
358,10,62350.7,62330,3
359,10,62350.7,62330,3
360,10,62346.7,62332,3
361,10,62350.7,62330,3
362,10,62350.7,62318,4
363,10,62350.7,62318,4
364,10,62350.7,62318,4
365,10,62350.7,62318,4
366,10,62350.7,62318,4
367,10,62350.7,62318,4
368,10,62350.7,62318,4
369,10,62350.7,62318,4
370,10,62350.7,62318,4
371,10,62350.7,62318,4
372,10,62348.7,62322,3
373,10,62348.7,62322,3
374,10,62348.7,62322,3
375,10,62348.7,62322,3
376,10,62348.7,62322,3
377,10,62344.7,62318,3
378,10,62348.7,62328,3
379,10,62348.7,62328,3
380,10,62348.7,62322,3
381,10,62348.7,62328,3
382,10,62348.7,62328,3
383,10,62348.7,62328,3
384,10,62348.7,62328,3
385,10,62348.7,62328,3
386,10,62348.7,62328,3
387,10,62348.7,62328,3
388,10,62332.7,62324,2
389,10,62332.7,62324,2
390,10,62332.7,62324,2
391,10,62332.7,62324,2
392,10,62332.7,62324,2
393,10,62328.7,62320,2
394,10,62328.7,62320,2
395,10,62328.7,62320,2
396,10,62322.7,62308,2
397,10,62322.7,62308,2
398,10,62322.7,62308,2
399,10,62322.7,62308,2
400,10,62322.7,62308,2
401,10,62322.7,62308,2
402,10,62322.7,62308,2
403,10,62322.7,62308,2
404,10,62322.7,62308,2
405,10,62320.7,62306,2
406,10,62320.7,62306,2
407,10,62322.7,62302,2
408,10,62322.7,62308,2
409,10,62322.7,62308,2
410,10,62322.7,62308,2
411,10,62322.7,62308,2
412,10,62322.7,62308,2
413,10,62318.7,62304,2
414,10,62318.7,62292,3
415,10,62318.7,62304,2
416,10,62302.7,62288,2
417,10,62302.7,62288,2
418,10,62306.7,62292,2
419,10,62292.7,62278,2
420,10,62292.7,62278,2
421,10,62292.7,62278,2
422,10,62292.7,62278,2
423,10,62292.7,62278,2
424,10,62292.7,62278,2
425,10,62292.7,62278,2
426,10,62292.7,62278,2
427,10,62292.7,62278,2
428,10,62292.7,62278,2
429,10,62280.7,62260,2
430,10,62288.7,62280,2
431,10,62288.7,62280,2
432,10,62288.7,62280,2
433,10,62288.7,62280,2
434,10,62288.7,62280,2
435,10,62288.7,62280,2
436,10,62288.7,62280,2
437,10,62288.7,62280,2
438,10,62288.7,62280,2
439,10,62288.7,62280,2
440,10,62288.7,62280,2
441,10,62288.7,62280,2
442,10,62284.7,62276,2
443,10,62284.7,62276,2
444,10,62284.7,62276,2
445,10,62280.7,62272,2
446,10,62280.7,62272,2
447,10,62280.7,62272,2
448,10,62264.7,62256,2
449,10,62264.7,62256,2
450,10,62264.7,62256,2
451,10,62264.7,62256,2
452,10,62264.7,62256,2
453,10,62264.7,62256,2
454,10,62264.7,62256,2
455,10,62264.7,62256,2
456,10,62264.7,62256,2
457,10,62264.7,62256,2
458,10,62264.7,62256,2
459,10,62262.7,62254,2
460,10,62262.7,62254,2
